# This is a small list of hosts I've personally, manually added from scam texts and emails.
# They are listed as the domains where the actual scam pointed to a sub-domain,
# and therefore the content of this list is best manually added to local PiHole filtering
# with the wildcard option selected - because, frustratingly, PiHole doesn't support wildcard
# domain lists.

0.0.0.0 knycd.xyz
0.0.0.0 auspost-com-au.live
0.0.0.0 megalot.autos
0.0.0.0 postnh.top
0.0.0.0 vernib.buzz
0.0.0.0 tolldence.cc
0.0.0.0 zaus.cc
0.0.0.0 medical-onlinea.cc
# 0.0.0.0 t.ly # Link shorteners are basically to hide scam sites these days. 
0.0.0.0 autmw.top
0.0.0.0 linkt.live
0.0.0.0 auonlinealerts.info
0.0.0.0 cxxz.services
0.0.0.0 govs.services
0.0.0.0 faq-linkt-a.org
0.0.0.0 linktcollectionhouseonline.info
0.0.0.0 post-mgd.life
0.0.0.0 linktpaynoticefees.net
0.0.0.0 linktpaymentnotices.com
0.0.0.0 ausposf.xyz
0.0.0.0 linktpaymentnotices.net
0.0.0.0 ausorriso.xyz # 107.173.165.253 racknerd.com, I've reported this as an abusive site
0.0.0.0 analyticsss.info
0.0.0.0 lkttolllate.cyou
0.0.0.0 colesauc.top
0.0.0.0 coles-rewardspoint.buzz
0.0.0.0 auubpa.services
0.0.0.0 dosity.stream
0.0.0.0 linkscmo.buzz
0.0.0.0 parcelauthorized.solutions
0.0.0.0 coles-kec.life
